time,deviceName,location,object_hAcc,object_sat
2023-01-14 11:14:52.427291819+00:00,A0013,43.252508::-7.3443344,44,5
2023-01-14 11:23:35.516638502+00:00,A0013,43.2542559::-7.3442281,5,7
2023-01-14 11:32:14.359336628+00:00,A0013,43.2547046::-7.3448237,6,7
2023-01-14 11:47:30.333592746+00:00,A0013,43.2548156::-7.344988,4,8
2023-01-14 12:03:05.511748988+00:00,A0013,43.2548397::-7.3449289,4,9
2023-01-14 12:18:13.265225290+00:00,A0013,43.2547872::-7.3448625,12,9
2023-01-14 12:33:30.365047948+00:00,A0013,43.2546935::-7.3448411,10,9
2023-01-14 12:48:49.706387130+00:00,A0013,43.2548192::-7.3448889,14,8
2023-01-14 13:04:12.587661149+00:00,A0013,43.254795::-7.3452513,10,8
2023-01-14 13:19:26.751032129+00:00,A0013,43.2548725::-7.3453542,10,8
2023-01-14 14:44:50.287050380+00:00,A0013,43.2547852::-7.3448579,20,8
2023-01-14 15:00:00.589592834+00:00,A0013,43.2549302::-7.344913,45,8
2023-01-14 15:15:28.528877254+00:00,A0013,43.2548397::-7.3447688,32,8
2023-01-14 15:31:05.876357571+00:00,A0013,43.2548124::-7.3449604,6,11
2023-01-14 15:53:53.256655847+00:00,A0013,43.2549366::-7.3449687,10,11
2023-01-14 16:01:30.694510401+00:00,A0013,43.2548401::-7.3447474,12,11
2023-01-14 16:36:37.422123586+00:00,A0013,43.2548973::-7.3447681,10,10
2023-01-14 16:47:27.653315410+00:00,A0013,43.2545459::-7.3449494,11,8
2023-01-14 17:17:07.344381607+00:00,A0013,43.2543806::-7.3447909,14,8
2023-01-14 17:37:10.189744034+00:00,A0013,43.2518788::-7.3381989,4,7
2023-01-14 17:49:06.178972353+00:00,A0013,43.2511516::-7.3383638,7,7
2023-01-14 20:33:02.937236462+00:00,A0013,43.2512673::-7.3385696,18,7
2023-01-14 21:18:05.924190750+00:00,A0013,43.2513425::-7.3384009,4,8
2023-01-15 10:42:25.187401525+00:00,A0013,43.2512352::-7.3384899,19,5
2023-01-15 10:58:31.259395971+00:00,A0013,43.2512504::-7.3385032,9,6
2023-01-15 12:23:28.810629689+00:00,A0013,43.2511512::-7.3383317,5,7
2023-01-15 13:22:56.074640015+00:00,A0013,43.2512552::-7.3385559,5,7
2023-01-15 13:38:33.996601406+00:00,A0013,43.2512428::-7.3385006,5,7
2023-01-15 17:21:14.939887882+00:00,A0013,43.2512394::-7.3386271,12,5
2023-01-15 17:55:18.918827589+00:00,A0013,43.2511783::-7.3385965,6,7
2023-01-16 02:16:25.585766705+00:00,A0013,43.2511787::-7.3385293,16,5
2023-01-16 02:32:20.913430233+00:00,A0013,43.2511715::-7.3386316,7,8
2023-01-16 04:17:48.783183336+00:00,A0013,43.2512767::-7.3385118,5,7
2023-01-16 11:14:58.864655576+00:00,A0013,43.2513133::-7.3382835,19,5
2023-01-16 11:27:53.905430302+00:00,A0013,43.2512366::-7.3386607,21,6
2023-01-16 11:36:44.742433606+00:00,A0013,43.2512879::-7.3385051,20,6
2023-01-16 11:45:44.023527509+00:00,A0013,43.2512668::-7.3385681,11,7
2023-01-16 12:16:34.976475727+00:00,A0013,43.2511288::-7.3385516,9,7
2023-01-16 12:44:27.853693695+00:00,A0013,43.2512277::-7.3385534,9,7
2023-01-16 18:44:49.022741127+00:00,A0013,43.2512847::-7.3385922,8,5
2023-01-16 20:30:20.484541416+00:00,A0013,43.2512148::-7.338599,6,6
2023-01-16 21:08:34.586364711+00:00,A0013,43.2510995::-7.3386568,13,6
2023-01-16 21:24:23.813960421+00:00,A0013,43.2513503::-7.338403,3,7
2023-01-16 23:37:12.699313363+00:00,A0013,43.2512522::-7.3385318,5,5
2023-01-17 09:22:14.501644132+00:00,A0013,43.2512065::-7.3385855,6,5
2023-01-17 09:43:42.889544004+00:00,A0013,43.2512367::-7.3386349,4,6
2023-01-17 10:11:02.347437506+00:00,A0013,43.2512121::-7.3386228,3,6
2023-01-17 14:28:39.518031214+00:00,A0013,43.2510326::-7.3387893,48,4
2023-01-18 03:19:53.459307312+00:00,A0013,43.2512532::-7.338517,2,5
2023-01-18 11:26:40.516271911+00:00,A0013,43.2512915::-7.3385489,5,5
2023-01-18 11:35:52.274949776+00:00,A0013,43.2512622::-7.3385719,4,6
2023-01-18 11:44:41.440137622+00:00,A0013,43.2512659::-7.3385463,3,6
2023-01-18 18:01:29.486777951+00:00,A0013,43.2512393::-7.3385527,8,5
2023-01-18 20:17:51.252037798+00:00,A0013,43.2511013::-7.3386381,5,6
2023-01-19 10:49:31.331538151+00:00,A0013,43.2511603::-7.3385639,84,4
2023-01-19 11:50:41.492468568+00:00,A0013,43.2512618::-7.3385917,13,6
2023-01-19 20:43:19.493264293+00:00,A0013,43.2511721::-7.3386304,54,5
2023-01-19 20:56:13.399989084+00:00,A0013,43.2512554::-7.338598,17,6
2023-01-19 22:22:00.293604758+00:00,A0013,43.251091::-7.3385337,24,7
2023-01-20 10:29:45.258212520+00:00,A0013,43.2512182::-7.3370387,12,7
2023-01-20 10:45:05.641173670+00:00,A0013,43.2513875::-7.3370955,7,10
2023-01-20 11:00:14.259567622+00:00,A0013,43.2511965::-7.3371492,12,10
2023-01-20 11:15:32.811716442+00:00,A0013,43.2511082::-7.3371304,14,9
2023-01-20 11:30:57.304489286+00:00,A0013,43.2509991::-7.3370667,8,8
2023-01-20 11:46:13.594759505+00:00,A0013,43.2511494::-7.337163,9,8
2023-01-20 12:01:22.404632797+00:00,A0013,43.2509644::-7.3366268,14,8
2023-01-20 12:17:05.339202302+00:00,A0013,43.2510847::-7.3366296,7,11
2023-01-20 12:32:12.325042411+00:00,A0013,43.2510927::-7.336644,17,10
2023-01-20 14:15:23.740326433+00:00,A0013,43.2512156::-7.3371285,18,7
2023-01-20 14:30:59.362707398+00:00,A0013,43.2513062::-7.3370932,4,9
2023-01-20 14:46:09.536486303+00:00,A0013,43.2511359::-7.3366687,13,9
2023-01-20 15:01:32.582335886+00:00,A0013,43.2511838::-7.3368487,10,8
2023-01-20 15:16:40.302026771+00:00,A0013,43.2510398::-7.3371075,14,9
